Project Name,Project Description,Initial Investment,Annual Operating Cost,Expected Lifespan,Projected Annual Revenue,Strategic Alignment,Risk Level,Dept_Cardiology,Dept_General Surgery,Dept_Neurology,Dept_Oncology
Project 1,Description for Project 1,889209.998269694,15674.582022039336,12,201868.70630479202,3,Low,False,False,False,True
Project 2,Description for Project 2,1101625.93091144,53156.06886906247,17,231253.14937381403,2,High,False,False,True,False
Project 3,Description for Project 3,811452.8800695182,55507.91130427116,9,277735.5630438168,3,Low,True,False,False,False
Project 4,Description for Project 4,626860.74187974,61446.32441440597,14,99658.56648494833,2,Low,False,True,False,False
Project 5,Description for Project 5,929614.733821365,27571.996396293507,14,193399.28762853966,1,Low,False,False,True,False
Project 6,Description for Project 6,1244975.239338085,46171.3481137271,18,174017.09487176297,4,Medium,False,True,False,False
Project 7,Description for Project 7,970642.7567608084,52423.26956087348,13,190060.14588210353,2,Medium,False,False,True,False
Project 8,Description for Project 8,1318487.628528535,49716.55609618831,6,262749.71425248333,1,Low,False,False,False,True
Project 9,Description for Project 9,707141.8393518643,55409.99606853831,20,262026.60928121148,3,High,False,True,False,False
Project 10,Description for Project 10,932982.754450159,58840.85227822193,9,184308.51611126898,3,High,True,False,False,False
Project 11,Description for Project 11,531634.4051495093,51847.83377357613,18,80842.61707505384,3,Medium,False,True,False,False
Project 12,Description for Project 12,1111024.392963238,35857.468056421,8,263728.6690035897,4,Medium,True,False,False,False
Project 13,Description for Project 13,1077094.0262868246,58590.430149812,9,69108.82818428877,2,Low,False,False,True,False
Project 14,Description for Project 14,1315163.3416410114,42548.48060075531,19,238008.88678413155,3,Low,False,False,False,True
Project 15,Description for Project 15,996348.1108180757,34553.398508466795,9,156884.65529723262,3,High,True,False,False,False
Project 16,Description for Project 16,1083152.2284444475,42182.1905463528,20,298336.2292349866,1,Medium,True,False,False,False
Project 17,Description for Project 17,836182.7372415594,40323.16597310475,11,190189.60982204197,4,High,False,False,False,True
Project 18,Description for Project 18,1098936.6619673728,58586.36557241754,11,230717.7320302353,4,Low,False,True,False,False
Project 19,Description for Project 19,1144793.931160468,55644.05514415045,14,245800.57560124766,4,High,False,True,False,False
Project 20,Description for Project 20,835037.8516030975,50363.938887495424,7,215978.60427667212,5,High,False,True,False,False
Project 21,Description for Project 21,726576.2688924968,38433.9783181471,5,292106.4173426341,3,Low,False,True,False,False
Project 22,Description for Project 22,1044960.2864006491,44212.578465745944,16,328007.5496956253,5,Low,True,False,False,False
Project 23,Description for Project 23,1232108.5228422827,57778.73045415061,15,236234.5785396634,3,Low,False,False,True,False
Project 24,Description for Project 24,1096422.8770704346,50483.506249944985,16,183145.94660895507,2,Low,False,False,False,True
Project 25,Description for Project 25,846358.475661699,39365.010158137025,13,211342.8064769191,5,Medium,False,False,True,False
Project 26,Description for Project 26,1276341.8238518648,36419.128867213934,6,144986.6570093053,1,Medium,False,False,False,True
Project 27,Description for Project 27,796298.1541607992,60983.929742866516,5,209127.95115715012,5,High,False,False,True,False
Project 28,Description for Project 28,914717.0710013492,49107.284366168446,12,112638.5064409193,1,Medium,False,True,False,False
Project 29,Description for Project 29,970823.6503861822,52906.99560428565,19,136663.5426157394,5,High,False,True,False,False
Project 30,Description for Project 30,1020418.163614984,71846.4120983048,5,153871.80546041497,5,Medium,False,True,False,False
Project 31,Description for Project 31,998908.6193302049,56586.67905321305,12,126366.88195512502,5,Medium,True,False,False,False
Project 32,Description for Project 32,883303.4312890798,57094.08151301165,13,94292.02343677747,4,Low,False,False,False,True
Project 33,Description for Project 33,1004918.302685976,52129.96587145058,17,203543.52478088115,5,Low,False,False,False,True
Project 34,Description for Project 34,644391.9846892093,57637.467553454626,12,159721.45580253552,5,Low,False,False,True,False
Project 35,Description for Project 35,925692.3168920999,40309.52857905015,20,206018.24448022636,5,High,False,True,False,False
Project 36,Description for Project 36,829733.7398158573,49091.42534432001,18,184747.92405753795,5,Low,False,True,False,False
Project 37,Description for Project 37,1116088.4996780432,57583.1657277566,15,260824.17088631526,5,Low,False,False,False,True
Project 38,Description for Project 38,742440.6664335121,42825.30639477553,16,90825.59349165666,2,High,False,False,False,True
Project 39,Description for Project 39,986422.9115960753,38825.796455313364,15,148774.0751851849,1,Low,False,False,True,False
Project 40,Description for Project 40,940001.2205978232,47186.41911933681,5,237818.85860320486,3,Medium,False,False,True,False
Project 41,Description for Project 41,1546512.3006417095,53629.4403138706,6,206662.56987435409,4,Medium,False,False,True,False
Project 42,Description for Project 42,657532.3143601915,53457.31347667531,12,257639.77964140417,3,High,False,True,False,False
Project 43,Description for Project 43,1195484.4424828128,50382.36211303667,13,219248.57552429033,3,High,False,False,False,True
Project 44,Description for Project 44,1182853.823680711,32320.58833359511,6,294881.2505595374,5,High,True,False,False,False
Project 45,Description for Project 45,708154.8241869545,42775.162041740245,19,150901.4286515217,5,High,False,True,False,False
Project 46,Description for Project 46,1059973.9536765807,46930.88106747276,9,140885.64004745858,4,Medium,True,False,False,False
Project 47,Description for Project 47,1082717.885920601,48658.02923798242,14,201817.39991775266,5,Medium,False,False,True,False
Project 48,Description for Project 48,1493839.0773472243,42234.052705442926,17,192824.7813929005,2,Medium,False,False,True,False
Project 49,Description for Project 49,818976.4402975115,49473.78134557334,17,147978.83013753223,3,Low,False,False,True,False
Project 50,Description for Project 50,1065823.3959178207,39137.639668213684,17,244360.19238027325,2,High,True,False,False,False
